company,industry,title,location,work_model,date,url,technologies
Notion Israel,Technology,"Engineering Manager, Mobile AINew York, New York",Israel (Assumed),Not Specified,2026-06-11,https://jobs.ashbyhq.com/notion/3979a6f5-2abb-447b-bd3a-0565b06bae24,Not Specified
Notion Israel,Technology,"Software Engineer, Mobile AI, iOSNew York, New York",Israel (Assumed),Not Specified,2026-06-11,https://jobs.ashbyhq.com/notion/59fe8e68-edf9-4da9-9ce0-4d6333ed371f,Not Specified
Dailymotion Israel,Technology,"Mobile Engineer – iOS, tvOS & Android (Google TV)",Israel (Assumed),Not Specified,2026-06-11,https://www.smartrecruiters.com/Dailymotion/744000130210569,Not Specified
Dailymotion Israel,Technology,Senior Engineering Manager Mobile – Social Apps (All Genders),Israel (Assumed),Not Specified,2026-06-11,https://www.smartrecruiters.com/Dailymotion/744000126235009,Not Specified
Dailymotion Israel,Technology,Senior Mobile Android Engineer – Social Mobile Apps,Israel (Assumed),Not Specified,2026-06-11,https://www.smartrecruiters.com/Dailymotion/744000126234569,Not Specified
