company,industry,title,location,work_model,date,url,technologies
Wise Israel,Technology,Senior Software Engineer - Generative AI Platform,Israel (Assumed),Not Specified,2026-07-21,https://wise.jobs/job/senior-software-engineer-generative-ai-platform-in-tallinn-jid-3682,Not Specified
Dailymotion Israel,Technology,AI Engineer (All Genders),Israel (Assumed),Not Specified,2026-07-21,https://www.smartrecruiters.com/Dailymotion/744000119545677,Not Specified
Qodo,Technology,Applied AI Engineer (Partnerships),Israel (Assumed),Not Specified,2026-07-21,https://www.qodo.ai/careers/,Not Specified
ScaleOps,Technology,AI EngineerIsraelFull-timeOn-siteApply Online,Israel (Assumed),On-site,2026-07-21,https://scaleops.com/careers/scaleops.com/careers/co/israel/DF.362/ai-engineer/all,Not Specified
