company,industry,title,location,work_model,date,url,technologies
Magic Software,Technology,Project ManagerColombia  ·  Full-time  ·  Senior,Israel (Assumed),Not Specified,2026-08-25,https://www.magicsoftware.com/careers/www.magicsoftware.com/careers/co/colombia/77.071/project-manager/all,N/A
Magic Software,Technology,"Senior Project ManagerMontreal, Canada  ·  Full-time  ·  Intermediate",Israel (Assumed),Not Specified,2026-08-25,https://www.magicsoftware.com/careers/www.magicsoftware.com/careers/co/montreal-canada/06.952/senior-project-manager/all,N/A
Arbe Robotics,Technology,Program ManagerTel Aviv  ·  Full-time,Israel (Assumed),Not Specified,2026-08-25,https://arberobotics.com/careers/arberobotics.com/career/co/programs/23.F68/program-manager/all,N/A
