company,industry,title,location,work_model,date,url,technologies
Western Digital Israel,Technology,Intern - Web DeveloperIntern,Israel (Assumed),Not Specified,2026-07-31,https://jobs.smartrecruiters.com/WesternDigital/744000140814058-intern-web-developer,Not Specified
Western Digital Israel,Technology,Intern - Web Developer,Israel (Assumed),Not Specified,2026-07-31,https://careers.smartrecruiters.com/WesternDigital,Not Specified
Western Digital Israel,Technology,Full Stack Data Engineer (Data Engineering)Full-time,Israel (Assumed),Not Specified,2026-07-31,https://jobs.smartrecruiters.com/WesternDigital/744000134386310-full-stack-data-engineer-data-engineering-,Not Specified
Descope,Technology,Full-Stack Software EngineerTel Aviv,Israel (Assumed),Not Specified,2026-07-31,https://job-boards.greenhouse.io/descope/jobs/4238542009,Not Specified
ScaleOps,Technology,Full Stack EngineerIsraelFull-timeOn-siteApply Online,Israel (Assumed),On-site,2026-07-31,https://scaleops.com/careers/scaleops.com/careers/co/israel/8D.D54/full-stack-engineer/all,Not Specified
